index,paths,label,bbox,width,height,dataset
1075.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/180.mp4/output_0002.jpg,0,"[{'id': 0, 'bbox': (207, 532, 625, 625), 'score': [0.781234085559845], 'center': (519, 844)}]",1080,1920,liveness-detection-zalo-2022
2952.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_SS22C200_REDMIN4X_id31_s0_84.png,0,"[{'id': 0, 'bbox': (48, 78, 237, 237), 'score': [0.8202592730522156], 'center': (166, 196)}]",334,334,LCC_FASD
1085.0,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/real_109.png,1,"[{'id': 0, 'bbox': (111, 162, 454, 454), 'score': [0.8861358761787415], 'center': (338, 389)}]",667,667,LCC_FASD
352.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1588.mp4/output_0003.jpg,0,"[{'id': 0, 'bbox': (94, 363, 485, 485), 'score': [0.8100287914276123], 'center': (336, 605)}]",720,1280,liveness-detection-zalo-2022
1991.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/FT720P_MBP1314_IPHONE8F_id2_s0_15.png,0,"[{'id': 0, 'bbox': (131, 153, 391, 391), 'score': [0.938373327255249], 'center': (326, 348)}]",627,627,LCC_FASD
289.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_2662.png,0,"[{'id': 0, 'bbox': (91, 128, 336, 336), 'score': [0.9404826760292053], 'center': (259, 296)}]",561,561,LCC_FASD
1119.0,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/real_140.png,1,"[{'id': 0, 'bbox': (130, 205, 561, 561), 'score': [0.9296649694442749], 'center': (410, 485)}]",892,892,LCC_FASD
1005.0,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/attack/frames/46.mp4/output_0036.jpg,0,"[{'id': 0, 'bbox': (85, 174, 152, 152), 'score': [0.9197942018508911], 'center': (161, 250)}]",360,480,liveness-detection-zalo-2022
401.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_IIYAMAXU_IPHONE7F_id20_s0_105.png,0,"[{'id': 0, 'bbox': (64, 123, 349, 348), 'score': [0.8767534494400024], 'center': (238, 297)}]",499,499,LCC_FASD
852.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_ATMP253MG_XIAOMIMI6_id50_s0_153.png,0,"[{'id': 0, 'bbox': (162, 187, 593, 593), 'score': [0.9183033108711243], 'center': (458, 483)}]",933,933,LCC_FASD
532.0,kaggle_datasets/replay-attack-mobile-dataset-ibeta-1/frames/20241126_030612.mp4/output_0001.jpg,0,"[{'id': 0, 'bbox': (68, 1192, 1983, 1983), 'score': [0.9420748949050903], 'center': (1059, 2183)}]",2160,3840,replay-attack-mobile-dataset-ibeta-1
115.0,kaggle_datasets/antispoofing-replay-dataset/frames/0001ffba3c--628befdf75a5cf63cd2c633b/output_0007.jpg,0,"[{'id': 0, 'bbox': (-15, 333, 371, 371), 'score': [0.860866367816925], 'center': (170, 518)}]",480,720,antispoofing-replay-dataset
2085.0,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1292.mp4/output_0004.jpg,1,"[{'id': 0, 'bbox': (142, 820, 828, 828), 'score': [0.7409170866012573], 'center': (556, 1234)}]",1078,1920,liveness-detection-zalo-2022
2657.0,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_4681.png,0,"[{'id': 0, 'bbox': (104, 126, 345, 345), 'score': [0.922400176525116], 'center': (276, 298)}]",541,541,LCC_FASD
366.0,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/attack/frames/20.mp4/output_0011.jpg,0,"[{'id': 0, 'bbox': (364, 649, 384, 384), 'score': [0.9023197889328003], 'center': (556, 841)}]",1080,1920,liveness-detection-zalo-2022
