index,paths,label,bbox,width,height,dataset
1154,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_tst/YOUTUBE_SM943N_REDMIN5_id42_s1_87.png,0,"[{'id': 0, 'bbox': (143, 128, 450, 450), 'score': [0.9335152506828308], 'center': (368, 353)}]",703,703,LCC_FASD
2508,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_tst/YOUTUBE_BQXL2420_NEXUS5_id48_s1_30.png,0,"[{'id': 0, 'bbox': (140, 161, 418, 418), 'score': [0.9083924293518066], 'center': (349, 370)}]",673,673,LCC_FASD
284,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_tst/FT720P_G780_REDMI4X_id5_s0_60.png,0,"[{'id': 0, 'bbox': (59, 53, 157, 157), 'score': [0.9441319704055786], 'center': (137, 131)}]",249,249,LCC_FASD
1143,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_tst/YOUTUBE_SM943N_REDMIN5_id42_s0_105.png,0,"[{'id': 0, 'bbox': (131, 156, 355, 355), 'score': [0.9253658652305603], 'center': (308, 333)}]",604,604,LCC_FASD
373,kaggle_datasets/lcc-fasd/LCC_FASD/real_tst/YOUTUBE_id48_s1_105.png,1,"[{'id': 0, 'bbox': (90, 127, 383, 383), 'score': [0.8835349082946777], 'center': (281, 318)}]",543,543,LCC_FASD
2,kaggle_datasets/lcc-fasd/LCC_FASD/real_tst/AGL752VM_id147_s0_150.png,1,"[{'id': 0, 'bbox': (59, 84, 212, 212), 'score': [0.9214074015617371], 'center': (165, 190)}]",329,329,LCC_FASD
2874,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_tst/YOUTUBE_IIYAMAXU_MOTOMC_S0_id39_s1_15.png,0,"[{'id': 0, 'bbox': (83, 96, 255, 255), 'score': [0.9340441823005676], 'center': (210, 223)}]",409,409,LCC_FASD
1703,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_tst/spoof_1334.png,0,"[{'id': 0, 'bbox': (54, 106, 230, 230), 'score': [0.8892501592636108], 'center': (169, 221)}]",393,393,LCC_FASD
605,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_tst/FT720P_MBP1314_IPHONE7B_id0_s1_135.png,0,"[{'id': 0, 'bbox': (101, 188, 474, 474), 'score': [0.849240243434906], 'center': (338, 425)}]",649,649,LCC_FASD
375,kaggle_datasets/lcc-fasd/LCC_FASD/real_tst/YOUTUBE_id48_s1_139.png,1,"[{'id': 0, 'bbox': (88, 117, 368, 368), 'score': [0.8711996674537659], 'center': (272, 301)}]",519,519,LCC_FASD
2123,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_tst/YOUTUBE_LG58020157_DOOX5MP_id48_s1_120.png,0,"[{'id': 0, 'bbox': (44, 58, 152, 152), 'score': [0.9057782292366028], 'center': (120, 134)}]",241,241,LCC_FASD
